date,china.onset,china.reported,wuhan.total,wuhan.confirmed,wuhan.clindiag,wuhan.suspected,wuhan.asymptomatic,hubeiexclwuhan.total,hubeiexclwuhan.confirmed,hubeiexclwuhan.clindiag,hubeiexclwuhan.suspected,hubeiexclwuhan.asymptomatic,chinaexclhubei.total,chinaexclhubei.confirmed,chinaexclhubei.clindiag,chinaexclhubei.suspected,chinaexclhubei.asymptomatic,china.total,china.confirmed,china.clindiag,china.suspected,china.asymptomatic
2/12/2019,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/12/2019,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2019,3,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,3,2,0,1,0
11/12/2019,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
12/12/2019,4,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
13/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/12/2019,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
16/12/2019,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
17/12/2019,9,0,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,5,3,1,0
18/12/2019,8,0,4,3,0,1,0,2,1,0,1,0,2,2,0,0,0,8,6,0,2,0
19/12/2019,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0
20/12/2019,14,0,12,9,3,0,0,0,0,0,0,0,2,2,0,0,0,14,11,3,0,0
21/12/2019,5,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
22/12/2019,10,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0
23/12/2019,12,0,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,0,0
24/12/2019,12,0,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,0,0
25/12/2019,14,0,12,3,9,0,0,0,0,0,0,0,2,2,0,0,0,14,5,9,0,0
26/12/2019,13,0,11,3,8,0,0,2,2,0,0,0,0,0,0,0,0,13,5,8,0,0
27/12/2019,29,0,27,11,14,2,0,0,0,0,0,0,2,2,0,0,0,29,13,14,2,0
28/12/2019,13,0,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,0,0
29/12/2019,19,0,17,11,5,1,0,0,0,0,0,0,2,2,0,0,0,19,13,5,1,0
30/12/2019,26,0,22,19,3,0,0,2,0,0,2,0,2,2,0,0,0,26,21,3,2,0
31/12/2019,20,0,18,9,7,0,2,2,0,0,2,0,0,0,0,0,0,20,9,7,2,2
1/1/2020,112,0,100,0,100,0,0,7,7,0,0,0,5,5,0,0,0,112,12,100,0,0
2/1/2020,67,0,60,0,60,0,0,5,5,0,0,0,2,2,0,0,0,67,7,60,0,0
3/1/2020,86,41,80,80,0,0,0,2,2,0,0,0,4,4,0,0,0,86,86,0,0,0
4/1/2020,69,0,60,0,60,0,0,2,2,0,0,0,7,7,0,0,0,69,9,60,0,0
5/1/2020,97,0,80,80,0,0,0,10,7,0,3,0,7,7,0,0,0,97,94,0,3,0
6/1/2020,66,0,60,0,60,0,0,2,2,0,0,0,4,4,0,0,0,66,6,60,0,0
7/1/2020,91,0,80,80,0,0,0,7,7,0,0,0,4,4,0,0,0,91,91,0,0,0
8/1/2020,159,0,140,100,40,0,0,7,7,0,0,0,12,12,0,0,0,159,119,40,0,0
9/1/2020,162,0,140,60,40,40,0,10,7,0,3,0,12,12,0,0,0,162,79,40,43,0
10/1/2020,267,0,200,100,60,40,0,35,35,0,0,0,32,32,0,0,0,267,167,60,40,0
11/1/2020,259,0,200,100,60,40,0,33,33,0,0,0,26,26,0,0,0,259,159,60,40,0
12/1/2020,325,0,240,100,120,20,0,51,45,0,6,0,34,34,0,0,0,325,179,120,26,0
13/1/2020,382,0,280,160,120,0,0,63,58,0,5,0,39,39,0,0,0,382,257,120,5,0
14/1/2020,448,0,320,160,120,40,0,77,70,7,0,0,51,51,0,0,0,448,281,127,40,0
15/1/2020,618,0,400,260,140,0,0,128,122,0,6,0,90,90,0,0,0,618,472,140,6,0
